Price,Location,Room,Bath Room,Area
4.1 Crore,"Margalla View Housing Society, D-17",,,9.3 Marla
4 Crore,"Shehzad Town, Islamabad",,,8 Marla
5.5 Crore,"Jinnah Gardens, FECHS",6,6,14 Marla
4.15 Crore,"Bahria Enclave - Sector M, Bahria Enclave",6,6,10 Marla
3.05 Crore,"I-14, Islamabad",4,5,6 Marla
2.35 Crore,"Bahria Enclave - Sector N, Bahria Enclave",3,4,5 Marla
2.45 Crore,"Bahria Enclave - Sector N, Bahria Enclave",3,5,5 Marla
9 Crore,"DHA Phase 2 - Sector G, DHA Defence Phase 2",6,6,1 Kanal
95 Crore,"F-7, Islamabad",11,7,4 Kanal
13.95 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
13.95 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
11.5 Crore,"DHA Defence Phase 2, DHA Defence",,,1 Kanal
12 Crore,"DHA Defence Phase 2, DHA Defence",6,7,1 Kanal
3.55 Crore,"Bahria Enclave - Sector G, Bahria Enclave",5,6,8 Marla
3.6 Crore,"Bahria Enclave - Sector G, Bahria Enclave",5,6,8 Marla
62 Lakh,"Arsalan Town, Islamabad",2,2,3 Marla
75 Crore,"E-7, Islamabad",,,2.1 Kanal
6.2 Crore,"Eighteen, Kashmir Highway",4,5,10 Marla
65 Crore,"Eighteen, Kashmir Highway",7,6,8 Kanal
9.75 Crore,"D-12/4, D-12",4,5,7 Marla
50 Crore,"F-8/2, F-8",,,2.5 Kanal
3.35 Crore,"Bani Gala, Islamabad",5,5,8 Marla
11.9 Crore,"DHA Phase 5 - Sector B, DHA Defence Phase 5",6,6,1 Kanal
5.25 Crore,"DHA Phase 3 - Block B, DHA Defence Phase 3",5,6,10 Marla
4 Crore,"I-14/4, I-14",6,6,8 Marla
69.5 Lakh,"DHA Valley - Lilly Sector, DHA Valley",2,2,5 Marla
4.5 Crore,"Bahria Enclave - Sector J, Bahria Enclave",4,5,10 Marla
3.7 Crore,"B-17, Islamabad",4,6,8 Marla
1.45 Crore,"Ghauri Town Phase 4A, Ghauri Town",4,4,5 Marla
3.5 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",5,6,7 Marla
5.25 Crore,"DHA Defence Phase 5, DHA Defence",5,7,10 Marla
5.2 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
5.35 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
2.3 Crore,"Bahria Enclave - Sector F1, Bahria Enclave",3,5,5 Marla
3.25 Crore,"Bahria Enclave - Sector J, Bahria Enclave",5,6,8 Marla
3.3 Crore,"Bahria Enclave - Sector J, Bahria Enclave",5,6,8 Marla
3.2 Crore,"Bahria Enclave - Sector F1, Bahria Enclave",5,6,8 Marla
3.6 Crore,"Bahria Enclave - Sector B1, Bahria Enclave",5,6,8 Marla
